"Feature","Gain","Cover","Frequency"
"season_type.WS",0.210374810877262,0.00688355726910615,0.00465502909393184
"irrigated_ratio",0.173547667447356,0.0736810628142746,0.0596841230257689
"temperature_range",0.12466702122157,0.0213968018023249,0.0201163757273483
"avg_temp",0.0525822502647628,0.0309687496370963,0.05619285120532
"heat_stress_index",0.0425311605461367,0.0252406777299067,0.0128013300083126
"rainfed_ratio",0.0419581701934669,0.0933330236555144,0.0540315876974231
"water_availability",0.0359754746061436,0.0814965567697507,0.0729842061512884
"total_area_planted_ha",0.0310568385346982,0.12081209137044,0.0711554447215295
"rainfall",0.0260761299103401,0.0375503710327368,0.0944305901911887
"soil_type.Silty Clay Loam",0.0255194786212996,0.00961839950761227,0.0139650872817955
"rainfed_area_ha",0.0239487305513271,0.080817201054453,0.0683291770573566
"max_temp",0.0230881203389454,0.0341739150631162,0.0337489609310058
"land_size_ha",0.0221589994622982,0.0320603639488567,0.0452202826267664
"surface_pressure",0.0216240131267286,0.0360319819767509,0.027431421446384
"irrigated_area_ha",0.0211364457477745,0.0563894275992614,0.0535328345802161
"solar_rad",0.0146807802993989,0.0335932691526054,0.0264339152119701
"min_temp",0.0130767481439494,0.039457792848765,0.0375727348295927
"barangay.Linmansangan",0.0105373961125475,0.00886355982394816,0.00781379883624273
"barangay.Pasileng Norte",0.0103004960461211,0.00778065520084542,0.00980881130507066
"humidity",0.00832359240789708,0.0363106920137962,0.027597672485453
"solar_temp",0.0081081002689621,0.00954872199835097,0.00698254364089776
"soil_type.Sandy Loam",0.0073323623716068,0.00590226568034281,0.0157938487115544
"barangay.Bugayong",0.0068586401254144,0.0131313072662029,0.0151288445552785
"barangay.Dumayat",0.00673272387693039,0.0244422896029543,0.0182876142975894
"barangay.Capas",0.00539227614721105,0.00350710129948555,0.0103075644222776
"barangay.Santiago",0.00461734632395792,0.0113864663051178,0.0123025768911056
"barangay.Sta. Maria Norte",0.00422010488399495,0.0148703417681829,0.0126350789692436
"barangay.Mangkasuy",0.00396174003281495,0.00452613487243209,0.0126350789692436
"barangay.San Pablo",0.00282741526092834,0.00371903705682201,0.00914380714879468
"barangay.Sta. Catalina",0.00248821963353275,0.000644516960667046,0.00598503740648379
"barangay.Camanggaan",0.00216875328137925,0.00725226742228054,0.00831255195344971
"barangay.Cili",0.00207158655700076,0.00307161686660241,0.00947630922693267
"barangay.Moreno",0.00200066841606071,0.00156193749927419,0.0056525353283458
"barangay.Bued",0.00147590811221664,0.00534194237669984,0.00731504571903574
"barangay.Pasileng Sur",0.0014625442216582,0.00231097072383319,0.00731504571903574
"barangay.Tabuyoc",0.00123221019542441,0.00172451835421723,0.0103075644222776
"barangay.Sumabnit",0.00103390842131747,0.00186967983184494,0.0058187863674148
"barangay.Vacante",0.000758778320438008,0.00409936012820662,0.00332502078137988
"crop_type.Palay",0.000688740152723563,0.00120484026431002,0.0101413133832086
"barangay.San Felipe Central",0.000598395131500633,0.0061316208149946,0.00615128844555278
"soil_type.Sandy Loam / Silty Clay Loam",0.000311063136017913,0.000966775441000569,0.00182876142975894
"soil_type.Silty Clay Loam / Fine Sandy Loam",0.000292179636889582,0.000519678089907213,0.000498753117206983
"barangay.San Felipe Sur",0.000167205743978286,0.00189000243871282,0.00598503740648379
"humidity_temp",3.48052880167337e-05,0.0039164566663957,0.00116375727348296
